Year,Asset,Weight,Allocation (%),Invested Amt (DKK)
2060,Government ZC Bonds - Obligations,1.0,100.0,14280099.369366184
2061,Emerging Markets - Equities,0.0,0.0,0.0
2061,Developed Markets - Equities,0.0,0.0,0.0
2061,Emerging Markets State - Obligations,0.0,0.0,0.0
2061,High Yield Bonds - Obligations,0.0,0.0,0.0
2061,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2061,Government ZC Bonds - Obligations,1.0,100.0,14600290.448315868
2062,Emerging Markets - Equities,0.0,0.0,0.0
2062,Developed Markets - Equities,0.0,0.0,0.0
2062,Emerging Markets State - Obligations,0.0,0.0,0.0
2062,High Yield Bonds - Obligations,0.0,0.0,0.0
2062,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2062,Government ZC Bonds - Obligations,1.0,100.0,14925639.913044019
2063,Emerging Markets - Equities,0.0,0.0,0.0
2063,Developed Markets - Equities,0.0,0.0,0.0
2063,Emerging Markets State - Obligations,0.0,0.0,0.0
2063,High Yield Bonds - Obligations,0.0,0.0,0.0
2063,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2063,Government ZC Bonds - Obligations,1.0,100.0,15256222.042518293
2064,Emerging Markets - Equities,0.0,0.0,0.0
2064,Developed Markets - Equities,0.0,0.0,0.0
2064,Emerging Markets State - Obligations,0.0,0.0,0.0
2064,High Yield Bonds - Obligations,0.0,0.0,0.0
2064,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2064,Government ZC Bonds - Obligations,1.0,100.0,15592112.1217593
2065,Emerging Markets - Equities,0.0,0.0,0.0
2065,Developed Markets - Equities,0.0,0.0,0.0
2065,Emerging Markets State - Obligations,0.0,0.0,0.0
2065,High Yield Bonds - Obligations,0.0,0.0,0.0
2065,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2065,Government ZC Bonds - Obligations,1.0,100.0,15933386.454954978
2066,Emerging Markets - Equities,0.0,0.0,0.0
2066,Developed Markets - Equities,0.0,0.0,0.0
2066,Emerging Markets State - Obligations,0.0,0.0,0.0
2066,High Yield Bonds - Obligations,0.0,0.0,0.0
2066,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2066,Government ZC Bonds - Obligations,1.0,100.0,16280122.37874156
2067,Emerging Markets - Equities,0.0,0.0,0.0
2067,Developed Markets - Equities,0.0,0.0,0.0
2067,Emerging Markets State - Obligations,0.0,0.0,0.0
2067,High Yield Bonds - Obligations,0.0,0.0,0.0
2067,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2067,Government ZC Bonds - Obligations,1.0,100.0,16632398.27565316
2068,Emerging Markets - Equities,0.0,0.0,0.0
2068,Developed Markets - Equities,0.0,0.0,0.0
2068,Emerging Markets State - Obligations,0.0,0.0,0.0
2068,High Yield Bonds - Obligations,0.0,0.0,0.0
2068,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2068,Government ZC Bonds - Obligations,1.0,100.0,16990293.587742113
2069,Emerging Markets - Equities,0.0,0.0,0.0
2069,Developed Markets - Equities,0.0,0.0,0.0
2069,Emerging Markets State - Obligations,0.0,0.0,0.0
2069,High Yield Bonds - Obligations,0.0,0.0,0.0
2069,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2069,Government ZC Bonds - Obligations,1.0,100.0,17353888.830372214
2070,Emerging Markets - Equities,0.0,0.0,0.0
2070,Developed Markets - Equities,0.0,0.0,0.0
2070,Emerging Markets State - Obligations,0.0,0.0,0.0
2070,High Yield Bonds - Obligations,0.0,0.0,0.0
2070,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2070,Government ZC Bonds - Obligations,1.0,100.0,17723265.60618695
2071,Emerging Markets - Equities,0.0,0.0,0.0
2071,Developed Markets - Equities,0.0,0.0,0.0
2071,Emerging Markets State - Obligations,0.0,0.0,0.0
2071,High Yield Bonds - Obligations,0.0,0.0,0.0
2071,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2071,Government ZC Bonds - Obligations,1.0,100.0,17938980.487218715
2072,Emerging Markets - Equities,0.0,0.0,0.0
2072,Developed Markets - Equities,0.0,0.0,0.0
2072,Emerging Markets State - Obligations,0.0,0.0,0.0
2072,High Yield Bonds - Obligations,0.0,0.0,0.0
2072,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2072,Government ZC Bonds - Obligations,1.0,100.0,18157197.66087045
2073,Emerging Markets - Equities,0.0,0.0,0.0
2073,Developed Markets - Equities,0.0,0.0,0.0
2073,Emerging Markets State - Obligations,0.0,0.0,0.0
2073,High Yield Bonds - Obligations,0.0,0.0,0.0
2073,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2073,Government ZC Bonds - Obligations,1.0,100.0,18377946.15373655
2074,Emerging Markets - Equities,0.0,0.0,0.0
2074,Developed Markets - Equities,0.0,0.0,0.0
2074,Emerging Markets State - Obligations,0.0,0.0,0.0
2074,High Yield Bonds - Obligations,0.0,0.0,0.0
2074,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2074,Government ZC Bonds - Obligations,1.0,100.0,18601255.329119895
2075,Emerging Markets - Equities,0.0,0.0,0.0
2075,Developed Markets - Equities,0.0,0.0,0.0
2075,Emerging Markets State - Obligations,0.0,0.0,0.0
2075,High Yield Bonds - Obligations,0.0,0.0,0.0
2075,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2075,Government ZC Bonds - Obligations,1.0,100.0,11827154.890937686
