Year,Final Wealth,Path_ID,source_folder
2034,564346.8799819797,8,P2_outputs_path_0_to_50
2035,725104.8210743052,8,P2_outputs_path_0_to_50
2036,1013433.9769286176,8,P2_outputs_path_0_to_50
2037,1132657.6523834353,8,P2_outputs_path_0_to_50
2038,1459660.8460041622,8,P2_outputs_path_0_to_50
2039,1916492.82698407,8,P2_outputs_path_0_to_50
2040,1858551.3883266964,8,P2_outputs_path_0_to_50
2041,2063168.2909632488,8,P2_outputs_path_0_to_50
2042,1441495.416873975,8,P2_outputs_path_0_to_50
2043,1875483.371421316,8,P2_outputs_path_0_to_50
2044,1873867.8087620544,8,P2_outputs_path_0_to_50
2045,1888201.334463664,8,P2_outputs_path_0_to_50
2046,2421900.8738016654,8,P2_outputs_path_0_to_50
2047,2170731.015366873,8,P2_outputs_path_0_to_50
2048,2446108.140774293,8,P2_outputs_path_0_to_50
2049,2880395.859774696,8,P2_outputs_path_0_to_50
2050,3085690.315989512,8,P2_outputs_path_0_to_50
2051,3486022.977909746,8,P2_outputs_path_0_to_50
2052,3843193.797394822,8,P2_outputs_path_0_to_50
2053,3238844.664679876,8,P2_outputs_path_0_to_50
2054,2954753.823200593,8,P2_outputs_path_0_to_50
2055,3597767.144398598,8,P2_outputs_path_0_to_50
2056,3693808.2592148497,8,P2_outputs_path_0_to_50
2057,4599697.036416826,8,P2_outputs_path_0_to_50
2058,4676326.04981254,8,P2_outputs_path_0_to_50
2059,197570.51905107684,8,P2_outputs_path_0_to_50
2060,342718.7230304798,8,P2_outputs_path_0_to_50
2061,359207.6337392066,8,P2_outputs_path_0_to_50
2062,379055.7987110991,8,P2_outputs_path_0_to_50
2063,366949.35503141815,8,P2_outputs_path_0_to_50
2064,366672.23107241024,8,P2_outputs_path_0_to_50
2065,365247.30339207145,8,P2_outputs_path_0_to_50
2066,397355.6932290335,8,P2_outputs_path_0_to_50
2067,415561.7797367191,8,P2_outputs_path_0_to_50
2068,439817.3500105256,8,P2_outputs_path_0_to_50
2069,456179.47089437663,8,P2_outputs_path_0_to_50
2070,488967.42151722335,8,P2_outputs_path_0_to_50
2071,483838.20657285966,8,P2_outputs_path_0_to_50
2072,480832.8510518238,8,P2_outputs_path_0_to_50
2073,472328.65670432645,8,P2_outputs_path_0_to_50
2074,495773.8428783094,8,P2_outputs_path_0_to_50
2075,,8,P2_outputs_path_0_to_50
