Year,Asset,Weight,Allocation (%),Invested Amt (DKK),Path_ID,source_folder
2063,High Yield Bonds - Obligations,0.0262139454881507,2.62,79253.8576970674,0,P1_outputs_path_0_to_50
2063,Investment Grade Bonds - Obligations,0.0591408122101497,5.91,178803.20675538416,0,P1_outputs_path_0_to_50
2063,Government ZC Bonds - Obligations,0.7559019449220488,75.59,2285353.999948928,0,P1_outputs_path_0_to_50
2064,Emerging Markets - Equities,0.0305398776351684,3.05,95818.50137432528,0,P1_outputs_path_0_to_50
2064,Developed Markets - Equities,0.0192366624580507,1.92,60354.79873866895,0,P1_outputs_path_0_to_50
2064,Emerging Markets State - Obligations,0.0201268976321917,2.01,63147.90096638288,0,P1_outputs_path_0_to_50
2064,High Yield Bonds - Obligations,0.0440959779573915,4.41,138350.6042488843,0,P1_outputs_path_0_to_50
2064,Investment Grade Bonds - Obligations,0.0603826982180695,6.04,189449.99457138983,0,P1_outputs_path_0_to_50
2064,Government ZC Bonds - Obligations,0.825617886099128,82.56,2590366.2581397425,0,P1_outputs_path_0_to_50
2065,Emerging Markets - Equities,0.0030846298640171,0.31,9510.884064805796,0,P1_outputs_path_0_to_50
2065,Developed Markets - Equities,0.0085670238418171,0.86,26414.82904980968,0,P1_outputs_path_0_to_50
2065,Emerging Markets State - Obligations,0.002789041757095,0.28,8599.492961235776,0,P1_outputs_path_0_to_50
2065,High Yield Bonds - Obligations,0.0103016147142773,1.03,31763.118282267136,0,P1_outputs_path_0_to_50
2065,Investment Grade Bonds - Obligations,0.0123386121092223,1.23,38043.82193803829,0,P1_outputs_path_0_to_50
2065,Government ZC Bonds - Obligations,0.962919077713571,96.29,2968982.3789739,0,P1_outputs_path_0_to_50
2066,Emerging Markets - Equities,0.0071868800636432,0.72,21613.469571000216,0,P1_outputs_path_0_to_50
2066,Developed Markets - Equities,0.0161183832604554,1.61,48473.63293230929,0,P1_outputs_path_0_to_50
2066,Emerging Markets State - Obligations,0.0334417201009932,3.34,100570.9839880538,0,P1_outputs_path_0_to_50
2066,High Yield Bonds - Obligations,0.0260686945188154,2.61,78397.7095413638,0,P1_outputs_path_0_to_50
2066,Investment Grade Bonds - Obligations,0.036093817579401,3.61,108546.77148433717,0,P1_outputs_path_0_to_50
2066,Government ZC Bonds - Obligations,0.8810905044766916,88.11,2649748.2411235105,0,P1_outputs_path_0_to_50
2067,Emerging Markets - Equities,0.0057426352052848,0.57,18449.031991850985,0,P1_outputs_path_0_to_50
