Year,Path_ID,Asset,Weight,Allocation (%),Invested Amt (DKK)
2031,1,Emerging Markets - Equities,0.734259022,73.43,538079.0643
2031,1,Developed Markets - Equities,0.257577962,25.76,188758.0608
2031,1,Emerging Markets State - Obligations,0.002646558,0.26,1939.448148
2031,1,High Yield Bonds - Obligations,0.003840008,0.38,2814.031697
2031,1,Investment Grade Bonds - Obligations,0.001129097,0.11,827.4240573
2031,1,Government ZC Bonds - Obligations,0.000547352,0.05,401.1103858
2032,1,Emerging Markets - Equities,0.182148573,18.21,159046.1824
2032,1,Developed Markets - Equities,0.00118083,0.12,1031.061905
2032,1,Emerging Markets State - Obligations,0.000975633,0.1,851.8904925
2032,1,High Yield Bonds - Obligations,0.001872454,0.19,1634.965423
2032,1,Investment Grade Bonds - Obligations,0.002422969,0.24,2115.656943
2032,1,Government ZC Bonds - Obligations,0.811399543,81.14,708487.5709
2033,1,Emerging Markets - Equities,0.233286274,23.33,228803.2055
2033,1,Developed Markets - Equities,0.00032816,0.03,321.8539642
2033,1,Emerging Markets State - Obligations,0.002006941,0.2,1968.37317
2033,1,High Yield Bonds - Obligations,0.026596154,2.66,26085.05461
2033,1,Investment Grade Bonds - Obligations,0.022255123,2.23,21827.44618
2033,1,Government ZC Bonds - Obligations,0.715527348,71.55,701777.0395
2034,1,Emerging Markets - Equities,0.34669966,34.67,374819.5497
2034,1,Developed Markets - Equities,0.002540429,0.25,2746.476264
2034,1,Emerging Markets State - Obligations,0.002160614,0.22,2335.855937
2034,1,High Yield Bonds - Obligations,0.000834563,0.08,902.251669
2034,1,Investment Grade Bonds - Obligations,0.001400945,0.14,1514.572303
2034,1,Government ZC Bonds - Obligations,0.646363789,64.64,698788.6404
2035,1,Emerging Markets - Equities,0.976791964,97.68,494571.236
2035,1,Developed Markets - Equities,0.008156182,0.82,4129.654218
2035,1,Emerging Markets State - Obligations,0.005470375,0.55,2769.771152
2035,1,High Yield Bonds - Obligations,0.004740929,0.47,2400.4367
2035,1,Investment Grade Bonds - Obligations,0.003551766,0.36,1798.337138
2035,1,Government ZC Bonds - Obligations,0.001288783,0.13,652.5392555
2036,1,Emerging Markets - Equities,0.946183004,94.62,577090.6592
2036,1,Developed Markets - Equities,0.017576808,1.76,10720.34886
2036,1,Emerging Markets State - Obligations,0.000956131,0.1,583.1582471
2036,1,High Yield Bonds - Obligations,0.015028831,1.5,9166.300587
2036,1,Investment Grade Bonds - Obligations,0.009172429,0.92,5594.396588
2036,1,Government ZC Bonds - Obligations,0.011082797,1.11,6759.557469
2037,1,Emerging Markets - Equities,0.925359562,92.54,776348.2026
2037,1,Developed Markets - Equities,0.014334618,1.43,12026.30316
2037,1,Emerging Markets State - Obligations,0.026544924,2.65,22270.37454
2037,1,High Yield Bonds - Obligations,0.012581665,1.26,10555.62973
2037,1,Investment Grade Bonds - Obligations,0.013333189,1.33,11186.13512
2037,1,Government ZC Bonds - Obligations,0.007846042,0.78,6582.588182
2038,1,Emerging Markets - Equities,0.952371675,95.24,1001621.987
2038,1,Developed Markets - Equities,4.45E-05,0,46.84986568
2038,1,Emerging Markets State - Obligations,0.009397767,0.94,9883.757236
2038,1,High Yield Bonds - Obligations,0.013693657,1.37,14401.80123
2038,1,Investment Grade Bonds - Obligations,0.014367269,1.44,15110.24826
2038,1,Government ZC Bonds - Obligations,0.010125086,1.01,10648.68785
2039,1,Emerging Markets - Equities,0.967930048,96.79,839527.4349
2039,1,Developed Markets - Equities,0.004657694,0.47,4039.818376
2039,1,Emerging Markets State - Obligations,0.010487201,1.05,9096.001558
2039,1,High Yield Bonds - Obligations,0.001562176,0.16,1354.942736
2039,1,Investment Grade Bonds - Obligations,0.009811447,0.98,8509.890745
2039,1,Government ZC Bonds - Obligations,0.005551434,0.56,4814.998046
2040,1,Emerging Markets - Equities,0.956476176,95.65,1155639.653
2040,1,Developed Markets - Equities,0.007855765,0.79,9491.542074
2040,1,Emerging Markets State - Obligations,0.007900279,0.79,9545.324884
