Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal B Allocation (%),Goal B Amount Taken (DKK),Goal B Utility Net Δ,Goal B Utility Loss,Goal B Value Now,Goal B Utility φ_before,Goal B Utility φ_after,Goal C Allocation (%),Goal C Amount Taken (DKK),Goal C Utility Net Δ,Goal C Utility Loss,Goal C Value Now,Goal C Utility φ_before,Goal C Utility φ_after,Goal D Allocation (%),Goal D Amount Taken (DKK),Goal D Utility Net Δ,Goal D Utility Loss,Goal D Value Now,Goal D Utility φ_before,Goal D Utility φ_after,Goal A Allocation (%),Goal A Amount Taken (DKK),Goal A Utility Net Δ,Goal A Utility Loss,Goal A Value Now,Goal A Utility φ_before,Goal A Utility φ_after
2032,ASK,Developed Markets - Equities,183.28,8.81E-05,0.068,0.02,0.98,179.6144,30.534448,149.079952,332.359952,382603.8993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NORMAL,Developed Markets - Equities,7312.97,0.003513282,0.068,0.02,0.98,7166.7106,2973.696756,4193.013844,11505.98384,382603.8993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NORMAL,Emerging Markets State - Obligations,1042.568264,0.000500869,0.0483,0.02,0.98,1021.716899,423.9429214,597.7739778,1640.342242,382603.8993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NORMAL,High Yield Bonds - Obligations,1748.612368,0.000840065,0.0493,0.02,0.98,1713.64012,711.0439295,1002.596191,2751.208559,382603.8993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NORMAL,Investment Grade Bonds - Obligations,4003.390094,0.001923301,0.0363,0.02,0.98,3923.322292,1627.911524,2295.410769,6298.800863,382603.8993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NORMAL,Government ZC Bonds - Obligations,317451.8078,0.152509564,0.0283,0.02,0.98,311102.7717,129086.4602,182016.3114,499468.1193,382603.8993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,ASK,Emerging Markets - Equities,35620.04,0.01062181,0.084,0.02,0.98,34907.6392,5934.298664,28973.34054,64593.38054,431003.2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,NORMAL,Emerging Markets - Equities,2044899.27,0.609784035,0.084,0.02,0.98,2004001.285,835416.0636,1168585.221,3213484.491,431003.2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,ASK,Developed Markets - Equities,12779.36,0.003810774,0.068,0.02,0.98,12523.7728,2129.041376,10394.73142,23174.09142,431003.2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,NORMAL,Developed Markets - Equities,733645.88,0.218771434,0.068,0.02,0.98,718972.9624,299721.1462,419251.8162,1152897.696,431003.2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,NORMAL,Emerging Markets State - Obligations,27377.24109,0.008163827,0.0483,0.02,0.98,26829.69627,11184.60323,15645.09304,43022.33412,431003.2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,NORMAL,High Yield Bonds - Obligations,16347.04816,0.00487465,0.0493,0.02,0.98,16020.1072,6678.366424,9341.740772,25688.78893,431003.2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
