Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal,Redeemed Amount,Allocated Value,Goal Value,Utility (Keep),Utility (Redeem),Utility Δ,Redeemed
2048,NORMAL,Government ZC Bonds - Obligations,1112.6237133227692,0.00828962807011278,-0.9981692009465263,0.02,-1.0181692009465262,-1132.8391971480007,0.0,-1132.8391971480007,-20.21548382523156,2573051.7965894514,,,,,,,,
2049,ASK,Emerging Markets - Equities,128654.87,0.938926624860148,-0.9964662414747635,0.02,-1.0164662414747634,-130773.3321563243,-22231.46646657513,-108541.86568974916,20113.00431025083,2898542.8488580175,,,,,,,,
2049,ASK,Developed Markets - Equities,2500.26,0.018246963236392324,-0.9974319890088461,0.02,-1.0174319890088461,-2543.8445048392578,-432.45356582267385,-2111.390939016584,388.8690609834163,2898542.8488580175,,,,,,,,
2049,NORMAL,Emerging Markets State - Obligations,2623.076663699434,0.019143282478127157,-0.9981394411518654,0.02,-1.0181394411518654,-2670.6578084774414,0.0,-2670.6578084774414,-47.581144778007456,2898542.8488580175,,,,,,,,
2049,NORMAL,High Yield Bonds - Obligations,345.927933678032,0.0025245911578252707,-0.9980467002388281,0.02,-1.018046700238828,-352.1707914013566,0.0,-352.1707914013566,-6.242857723324619,2898542.8488580175,,,,,,,,
2049,NORMAL,Investment Grade Bonds - Obligations,10.417725258454416,7.602883292051764e-05,-0.9982229127870971,0.02,-1.018222912787097,-10.607566557279169,0.0,-10.607566557279169,-0.18984129882475287,2898542.8488580175,,,,,,,,
2049,NORMAL,Government ZC Bonds - Obligations,2888.800284279522,0.021082540449604496,-0.9982139720083404,0.02,-1.0182139720083403,-2941.416811795075,0.0,-2941.416811795075,-52.61652751555266,2898542.8488580175,,,,,,,,
2050,ASK,Emerging Markets - Equities,134862.64,0.9760072421599897,-0.9960453557445018,0.02,-1.0160453557445017,-137026.55903544268,-23294.51503602526,-113732.04399941742,21130.59600058259,3265208.5192385563,,,,,,,,
2050,ASK,Developed Markets - Equities,920.58,0.006662280576649272,-0.9971799941549501,0.02,-1.01717999415495,-936.3955590191639,-159.18724503325788,-777.208313985906,143.37168601409402,3265208.5192385563,,,,,,,,
2050,NORMAL,Emerging Markets State - Obligations,197.46146484039826,0.0014290378694332905,-0.9981136183663558,0.02,-1.0181136183663557,-201.03820645657882,0.0,-201.03820645657882,-3.5767416161805556,3265208.5192385563,,,,,,,,
2050,NORMAL,High Yield Bonds - Obligations,849.9533559010473,0.0061511522454076924,-0.9979430047078641,0.02,-1.0179430047078641,-865.2040729674447,0.0,-865.2040729674447,-15.250717066397442,3265208.5192385563,,,,,,,,
2050,NORMAL,Investment Grade Bonds - Obligations,17.62975238922755,0.00012758734375490106,-0.9981283100286713,0.02,-1.0181283100286713,-17.949350006268176,0.0,-17.949350006268176,-0.3195976170406247,3265208.5192385563,,,,,,,,
